element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
21,1,2,0,True,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,63,0,0
21,10,6,0,False,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-8,60,0,8
21,21,11,0,True,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4,56,0,4
21,31,7,0,False,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-8,48,1,9
21,38,13,0,True,2021-05-09T15:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,51,11,8
21,46,12,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,55,4,2
21,53,10,0,True,2021-05-17T16:30:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-4,52,3,7
21,103,5,0,True,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-4,52,3,7
21,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,53,4,3
21,70,9,0,False,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2,52,0,2
21,78,3,0,True,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2,50,0,2
21,82,16,0,False,2021-07-17T13:00:00Z,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,50,0,0
21,93,14,0,False,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,49,0,1
21,107,15,0,False,2021-08-07T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,46,0,1
21,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,46,0,0
21,126,16,0,True,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2,44,0,2
