element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
282,8,10,0,False,2021-04-12T17:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,88,0,0
282,14,8,0,True,2021-04-18T13:00:00Z,5.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-7,85,2,9
282,21,1,0,False,2021-04-25T15:30:00Z,1.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-10,75,0,10
282,30,13,0,True,2021-05-02T13:00:00Z,1.0,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-4,71,0,4
282,39,14,0,False,2021-05-09T13:00:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,70,1,2
282,42,7,0,False,2021-05-12T16:30:00Z,2.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,68,0,2
282,56,12,0,True,2021-05-17T16:30:00Z,1.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,67,0,1
282,58,3,0,True,2021-05-22T15:30:00Z,3.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-6,61,1,7
282,66,16,0,False,2021-07-03T15:30:00Z,3.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,61,0,0
282,80,4,0,True,2021-07-11T15:30:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,61,0,0
282,85,5,0,False,2021-07-17T15:30:00Z,3.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,61,0,0
282,96,15,0,True,2021-07-26T17:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,61,0,0
282,104,2,0,True,2021-08-01T15:30:00Z,1.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,61,0,0
282,105,6,0,False,2021-08-08T13:00:00Z,5.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,61,0,0
282,120,9,0,True,2021-08-15T15:30:00Z,1.0,2.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-1,60,0,1
282,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,60,0,0
