element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
355,6,13,0,True,2021-04-11T13:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,30,0,0
355,9,2,0,False,2021-04-17T13:00:00Z,2.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-5,27,2,7
355,23,5,0,False,2021-04-26T16:30:00Z,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,27,1,1
355,32,16,0,True,2021-05-03T16:30:00Z,1.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,26,0,1
355,39,11,0,True,2021-05-09T13:00:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,26,0,0
355,47,15,0,False,2021-05-13T15:00:00Z,1.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,25,0,1
355,54,6,0,True,2021-05-17T16:30:00Z,1.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,25,0,0
355,57,12,0,False,2021-05-22T13:00:00Z,2.0,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,23,0,2
355,71,3,0,False,2021-07-04T15:30:00Z,2.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,23,0,0
355,79,9,0,True,2021-07-11T13:00:00Z,0.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,23,0,0
355,86,4,0,False,2021-07-18T16:00:00Z,3.0,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,23,0,0
355,93,1,0,True,2021-07-24T13:00:00Z,0.0,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,23,0,0
355,102,10,0,False,2021-08-01T15:30:00Z,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,23,0,0
355,112,8,0,False,2021-08-07T15:30:00Z,2.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,24,1,0
355,118,7,0,True,2021-08-15T13:00:00Z,0.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,24,0,0
355,122,7,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,24,0,1
